"date","count","lang","page","rank","month","title"
2008-01-30,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-16,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-17,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-14,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-15,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-12,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-13,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-10,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-11,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-18,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-19,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-29,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-28,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-27,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-26,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-25,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-24,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-23,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-22,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-21,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-20,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-05,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-04,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-07,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-06,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-01,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-03,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-02,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-09,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-01-08,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200801","Bootsunglück_vor_Lampedusa_2013"
2008-02-28,0,"de","Bootsungl%C3%BCck_vor_Lampedusa_2013","-1","200802","Bootsunglück_vor_Lampedusa_2013"
